Date,Price,Open,High,Low,Vol.,Change %
9/28/2023,"15,481.00","15,576.00","15,597.80","15,466.30",,-0.22%
9/29/2023,"15,450.00","15,505.00","15,508.50","15,455.00",,-0.20%
10/2/2023,"15,525.00","15,492.50","15,541.00","15,492.50",,0.49%
10/3/2023,"15,575.00","15,580.00","15,612.50","15,580.00",,0.32%
10/4/2023,"15,625.00","15,620.00","15,646.50","15,612.50",,0.32%
10/5/2023,"15,610.00","15,585.00","15,621.50","15,575.00",,-0.10%
10/6/2023,"15,605.00","15,620.00","15,636.50","15,610.00",,-0.03%
10/9/2023,"15,685.00","15,635.00","15,702.50","15,635.00",,0.51%
10/10/2023,"15,730.00","15,677.50","15,742.50","15,667.50",,0.29%
10/11/2023,"15,690.00","15,727.50","15,737.50","15,689.00",,-0.25%
10/12/2023,"15,685.00","15,695.00","15,708.00","15,690.00",,-0.03%
10/13/2023,"15,680.00","15,735.00","15,740.00","15,682.50",,-0.03%
10/16/2023,"15,715.00","15,705.00","15,727.50","15,700.00",,0.22%
10/17/2023,"15,710.00","15,705.00","15,726.50","15,701.50",,-0.03%
10/18/2023,"15,725.00","15,730.00","15,737.50","15,716.00",,0.10%
10/19/2023,"15,810.00","15,790.00","15,856.50","15,790.00",,0.54%
10/20/2023,"15,870.00","15,847.50","15,889.00","15,825.00",,0.38%
10/23/2023,"15,930.00","15,880.00","15,967.50","15,880.00",,0.38%
10/24/2023,"15,845.00","15,892.50","15,895.00","15,835.00",,-0.53%
10/25/2023,"15,865.00","15,867.50","15,880.00","15,862.50",,0.13%
10/26/2023,"15,915.00","15,895.00","15,942.50","15,895.00",,0.32%
10/27/2023,"15,935.00","15,917.50","15,952.50","15,914.00",,0.13%
10/30/2023,"15,885.00","15,922.50","15,930.50","15,882.50",,-0.31%
10/31/2023,"15,880.00","15,877.50","15,912.50","15,867.50",,-0.03%
11/1/2023,"15,930.00","15,925.00","15,953.50","15,920.00",,0.31%
11/2/2023,"15,850.00","15,875.00","15,880.00","15,835.00",,-0.50%
11/3/2023,"15,725.00","15,832.50","15,832.50","15,724.00",,-0.79%
11/6/2023,"15,535.00","15,595.00","15,595.00","15,510.00",,-1.21%
11/7/2023,"15,625.00","15,565.00","15,635.00","15,560.00",,0.58%
11/8/2023,"15,645.00","15,625.00","15,665.00","15,590.00",,0.13%
11/9/2023,"15,650.00","15,642.50","15,672.50","15,631.00",,0.03%
11/10/2023,"15,690.00","15,685.00","15,712.50","15,675.00",,0.26%
11/13/2023,"15,695.00","15,702.50","15,727.00","15,697.50",,0.03%
11/14/2023,"15,690.00","15,695.00","15,707.50","15,690.00",,-0.03%
11/15/2023,"15,530.00","15,505.00","15,553.00","15,467.50",,-1.02%
11/16/2023,"15,540.00","15,555.00","15,622.50","15,545.00",,0.06%
11/17/2023,"15,490.00","15,512.50","15,535.00","15,489.00",,-0.32%
11/20/2023,"15,440.00","15,412.50","15,552.00","15,382.50",,-0.32%
11/21/2023,"15,435.00","15,392.00","15,507.00","15,385.00",,-0.03%
11/22/2023,"15,570.00","15,535.00","15,604.00","15,530.00",,0.87%
11/23/2023,"15,550.00","15,600.00","15,623.50","15,545.00",,-0.13%
11/24/2023,"15,560.00","15,565.00","15,612.50","15,555.00",,0.06%
11/27/2023,"15,490.00","15,540.00","15,560.00","15,475.00",,-0.45%
11/28/2023,"15,430.00","15,470.00","15,482.50","15,430.00",,-0.39%
11/29/2023,"15,390.00","15,387.50","15,422.50","15,357.50",,-0.26%
11/30/2023,"15,505.00","15,450.00","15,510.00","15,441.00",,0.75%
12/1/2023,"15,480.00","15,520.00","15,548.50","15,485.00",,-0.16%
12/4/2023,"15,450.00","15,425.00","15,468.50","15,415.00",,-0.19%
12/5/2023,"15,500.00","15,490.00","15,519.00","15,487.50",,0.32%
12/6/2023,"15,490.00","15,490.00","15,514.50","15,485.00",,-0.06%
12/7/2023,"15,510.00","15,515.00","15,543.50","15,509.00",,0.13%
12/8/2023,"15,505.00","15,502.50","15,526.50","15,483.50",,-0.03%
12/11/2023,"15,610.00","15,580.00","15,622.50","15,580.00",,0.68%
12/12/2023,"15,615.00","15,640.00","15,654.50","15,614.50",,0.03%
12/13/2023,"15,655.00","15,611.00","15,677.50","15,597.00",,0.26%
12/14/2023,"15,495.00","15,460.00","15,520.00","15,460.00",,-1.02%
12/15/2023,"15,490.00","15,512.50","15,528.50","15,472.50",,-0.03%
12/18/2023,"15,505.00","15,542.50","15,561.50","15,490.00",,0.10%
12/19/2023,"15,500.00","15,522.50","15,526.50","15,487.50",,-0.03%
12/20/2023,"15,505.00","15,500.00","15,527.50","15,494.00",,0.03%
12/21/2023,"15,520.00","15,520.00","15,551.00","15,512.50",,0.10%
12/22/2023,"15,480.00","15,490.00","15,505.00","15,475.00",,-0.26%
12/25/2023,"15,467.00","15,466.80","15,467.00","15,466.80",,-0.08%
12/26/2023,"15,407.00","15,467.00","15,467.00","15,405.00",,-0.39%
12/27/2023,"15,425.00","15,430.00","15,442.50","15,392.50",,0.12%
12/28/2023,"15,415.00","15,385.00","15,434.50","15,380.00",,-0.06%
12/29/2023,"15,395.00","15,430.00","15,457.50","15,397.00",,-0.13%
1/1/2024,"15,390.00","15,390.10","15,390.10","15,390.00",,-0.03%
1/2/2024,"15,465.00","15,430.00","15,482.50","15,430.00",,0.49%
1/3/2024,"15,475.00","15,505.00","15,527.50","15,470.00",,0.06%
1/4/2024,"15,485.00","15,535.00","15,552.50","15,490.00",,0.06%
1/5/2024,"15,510.00","15,507.50","15,532.00","15,499.50",,0.16%
1/8/2024,"15,520.00","15,500.00","15,533.50","15,500.00",,0.06%
1/9/2024,"15,515.00","15,529.00","15,531.00","15,504.50",,-0.03%
1/10/2024,"15,565.00","15,540.00","15,587.50","15,537.50",,0.32%
1/11/2024,"15,545.00","15,552.50","15,570.00","15,544.50",,-0.13%
1/12/2024,"15,545.00","15,562.50","15,575.00","15,542.50",,0.00%
1/15/2024,"15,550.00","15,555.00","15,562.50","15,545.00",,0.03%
1/16/2024,"15,585.00","15,572.50","15,598.50","15,570.00",,0.23%
1/17/2024,"15,635.00","15,625.00","15,647.50","15,617.50",,0.32%
1/18/2024,"15,615.00","15,617.50","15,637.50","15,612.50",,-0.13%
1/19/2024,"15,610.00","15,617.50","15,637.50","15,612.50",,-0.03%
1/22/2024,"15,630.00","15,607.50","15,640.00","15,607.50",,0.13%
1/23/2024,"15,625.00","15,660.00","15,677.50","15,630.00",,-0.03%
1/24/2024,"15,705.00","15,694.00","15,730.00","15,693.00",,0.51%
1/25/2024,"15,820.00","15,710.00","15,835.00","15,705.00",,0.73%
1/26/2024,"15,815.00","15,837.50","15,847.50","15,810.00",,-0.03%
1/29/2024,"15,805.00","15,812.50","15,833.00","15,807.50",,-0.06%
1/30/2024,"15,777.00","15,800.00","15,816.00","15,775.00",,-0.18%
